Datum,Uhrzeit,Unternehmen,Kurs_EUR
2025-07-18,09:00:00,Rheinmetall_AG,1863.5
2025-07-18,09:30:00,Rheinmetall_AG,1853.0
2025-07-18,10:00:00,Rheinmetall_AG,1852.0
2025-07-18,10:30:00,Rheinmetall_AG,1845.5
2025-07-18,11:00:00,Rheinmetall_AG,1845.5
2025-07-18,11:30:00,Rheinmetall_AG,1845.0
2025-07-18,12:00:00,Rheinmetall_AG,1847.0
2025-07-18,12:30:00,Rheinmetall_AG,1848.0
2025-07-18,13:00:00,Rheinmetall_AG,1850.5
2025-07-18,13:30:00,Rheinmetall_AG,1848.0
2025-07-18,14:00:00,Rheinmetall_AG,1844.5
2025-07-18,14:30:00,Rheinmetall_AG,1843.0
2025-07-18,15:00:00,Rheinmetall_AG,1844.5
2025-07-18,15:30:00,Rheinmetall_AG,1853.0
2025-07-18,16:00:00,Rheinmetall_AG,1848.0
2025-07-18,16:30:00,Rheinmetall_AG,1842.5
2025-07-18,17:00:00,Rheinmetall_AG,1838.5
